hist_period,established_year,continent,region,country,picture,location,type_site,culture,unesco_whs,type_icon,latitude,longitude
HOLOCENE,1250,,Pacific,Australia,Emily Bay.jpg,Emily Bay,coast.svg,,,Settlement.svg,-29.056,167.961
HOLOCENE,1250,,Pacific,New Zeland,Sandy Bay.jpg,Sandy Bay Enderby Island,coast.svg,,,Settlement.svg,-50.495833,166.295556
HOLOCENE,1350,,Pacific,New Zeland,Kermadec Islands.jpg,Kermadec Islands,coast.svg,,,Settlement.svg,-29.276944,-177.923333
"MODERN, AGE OF SAILS",1420,,Atlantic / North Africa,Madeira,Madeira.jpg,Madeira,coast.svg,,,Settlement.svg,32.651111,-16.90972
"MODERN, AGE OF SAILS",1439,,Atlantic,Azores,Santa Maria Island.jpg,Santa Maria Island,coast.svg,,,Settlement.svg,36.974722,-25.094722
"MODERN, AGE OF SAILS",1462,,Atlantic / West Africa,Cape Verde,Ribeira Grande.jpg,Ribeira Grande,coast.svg,,,Settlement.svg,14.916,-23.606
HOLOCENE,1475,,"Arctic, North America",Greenland,Qilakitsoq.jpg,Qilakitsoq,mummies.svg,Thule,,Settlement.svg,70.608611,-52.181944
"MODERN, AGE OF SAILS",1485,,Atlantic / Central Africa,Sao Tome and Principe,Sao Tome.jpg,Sao Tome,colony.svg,,,Settlement.svg,0.336111,6.730556
"MODERN, AGE OF SAILS",1500,,Pacific Ocean,New Zealand,Chatham Islands.jpg,Chatham Islands,coast.svg,Moriori,,Settlement.svg,-43.8003,-176.3528
"MODERN, AGE OF SAILS",1516,,South Atlantic,United Kingdom,Saint Helena.jpg,Saint Helena,castaway,,,Settlement.svg,-15.966667,-5.7
"MODERN, AGE OF SAILS",1543,,South Atlantic / Central Africa,Equatorial Guinea,Annobon.png,Annobon,colony.svg,Annobon,,Settlement.svg,-1.435,5.6375
"MODERN, AGE OF SAILS",1609,,North Atlantic,United Kingdom,Bermuda.jpg,Bermuda,colony.svg,,,Settlement.svg,32.296111,-64.782778
