Name,Location,Latitude,Longitude,Elevation,Morphology,Status,Time of Last Eruption,OBJECTID,ID,Country,OID,x,y
Fonuafo'ou,Tonga-SW Pacific,-20.32,-175.42,-17,Submarine volcano,Historical,D2,1815,40305,Tonga,103,-19527665.074956,-2310978.09970635
Farallon de Pajaros,Mariana Is-C Pacific,20.546,144.893,337,Stratovolcano,Historical,D1,1816,80414,United States,105,16129414.9795098,2337825.53749582
Fayal,Azores,38.576,-28.713,1041,Stratovolcano,Historical,D2,1817,180201,Portugal,106,-3198208.97049075,4664535.89375901
Fentale,Africa-NE,8.985,39.906,2007,Stratovolcano,Historical,D3,1818,20119,Ethiopia,108,4444987.26737541,1003203.48246741
Fernandina,Galapagos,-0.37,-91.55,1476,Shield volcano,Historical,D1,1819,150301,Ecuador,109,-10191299.3821242,-41188.4978691516
Kimsachata-Oroscocha,Peru,-14.131,-71.363,3848,Stratovolcano,Holocene,U,1820,150400,Peru,110,-7942756.98759086,-1594416.33589411
Fisher,Aleutian Is,54.65,-164.43,1112,Stratovolcano,Historical,D3,1821,110135,United States,111,-18304263.871138,7294232.42307169
Flores,Azores,39.462,-31.216,914,Stratovolcano,Radiocarbon,D7,1822,1802001,Portugal,113,-3474949.22460283,4788066.83404454
Flores,Guatemala,14.308,-89.992,1600,Volcanic field,Holocene,U,1823,140214,Guatemala,114,-10017863.6154683,1609576.45450332
Fogo,Cape Verde Is,14.95,-24.35,2829,Stratovolcano,Historical,D1,1824,180401,Cape Verde,115,-2710629.60081621,1683438.49161116
Fonualei,Tonga-SW Pacific,-18.023,-174.317,188,Stratovolcano,Historical,D2,1825,40310,Tonga,116,-19404879.6766111,-2040240.8299116
Fort Portal,Africa-C,0.7,30.25,1615,Tuff cone,Holocene,U,1826,203001,Uganda,117,3367414.59649653,77925.5821410695
Fort Selkirk,Canada,62.93,-137.38,1239,Volcanic field,Holocene,U,1827,120001,Canada,118,-15293071.6451799,9083107.2906012
"Fournaise, Piton de la",Indian O-W,-21.244,55.708,2632,Shield volcano,Historical,D1,1828,30302,Reunion,120,6201386.19311168,-2420996.87559815
Fourpeaked,Alaska Peninsula,58.77,-153.672,2105,Stratovolcano,Uncertain,Unknown,1829,110226,United States,121,-17106688.7891839,8130840.25067952
Fremrinamar,Iceland-NE,65.416,-16.666,970,Stratovolcano,Tephrochronology,D7,1830,170307,Iceland,122,-1855250.6335607,9718810.7328889
Frosty,Alaska Peninsula,55.067,-162.835,1728,Stratovolcano,Holocene,U,1831,110201,United States,123,-18126709.2833227,7374880.31996901
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,1832,140209,Guatemala,124,-10116715.3232927,1628539.14375816
Fuerteventura,Canary Is,28.358,-14.02,529,Fissure vent,Holocene,U,1833,180305,Spain,125,-1560699.2609217,3294184.83679187
Fujisan,Honshu-Japan,35.361,138.728,3776,Stratovolcano,Historical,D4,1834,80303,Japan,126,15443130.3187693,4213048.4647547
