Name,Location,Latitude,Longitude,Elevation,Morphology,Status,Time of Last Eruption,OBJECTID,ID,Country,OID,x,y
Koryaksky,Kamchatka,53.321,158.712,3430,Stratovolcano,Historical,D2,2114,100009,Russia,465,17667739.022782,7042596.37086661
Koshelev,Kamchatka,51.356,156.753,1822,Stratovolcano,Historical,D5,2115,100002,Russia,467,17449664.140318,6684509.24218991
"Koussi, Emi",Africa-N,19.8,18.53,3415,Stratovolcano,Holocene,U,2116,205021,Chad,468,2062750.16439936,2249353.17143087
Kozushima,Izu Is-Japan,34.219,139.153,572,Lava dome,Historical,D6,2117,80403,Japan,469,15490441.1023564,4058246.41965444
Krafla,Iceland-NE,65.715,-16.728,800,Caldera,Historical,D1,2118,170308,Iceland,471,-1862152.44198988,9799276.61748902
Krakatau,Indonesia,-6.101,105.423,285,Caldera,Historical,D1,2119,60200,Indonesia,473,11735634.6778993,-680559.263647481
Krasheninnikov,Kamchatka,54.596,160.27,1816,Caldera,Radiocarbon,D5,2120,100019,Russia,474,17841174.789438,7283849.46601929
Krysuvik-Trolladyngja,Iceland-SW,63.917,-22.067,360,Crater rows,Historical,D6,2121,170103,Iceland,475,-2458268.31518786,9320115.32477192
Kronotsky,Kamchatka,54.753,160.533,3482,Stratovolcano,Historical,D2,2122,100020,Russia,476,17870451.8155166,7314075.26799865
Ksudach,Kamchatka,51.844,157.572,1079,Stratovolcano,Historical,D2,2123,100005,Russia,477,17540834.8032777,6771967.65420399
Kuchinoerabujima,Ryukyu Is,30.443,130.217,657,Stratovolcano,Historical,D1,2124,80205,Japan,479,14495690.1326277,3560621.40985119
Kueishantao,Taiwan,24.841,121.953,361,Stratovolcano,Pleistocene-Fumarol,Q,2125,801031,Taiwan,480,13575745.8607121,2856227.65701091
Kujusan,Kyushu-Japan,33.086,131.249,1791,Stratovolcano,Historical,D1,2126,80212,Japan,481,14610571.8471264,3906724.5963337
Kukak,Alaska Peninsula,58.453,-154.355,2043,Stratovolcano,Fumarolic,U,2127,110223,United States,482,-17182720.0013957,8063086.85154607
Kula,Turkey,38.58,28.52,750,Cinder cone,Holocene,U,2128,10300,Turkey,483,3174831.87742416,4661687.49784459
Ashikule Volcanic Field,China-W,35.742,81.646,5090,Pyroclastic cone,Historical,D2,2129,100403,China,485,8927823.16162054,4234773.53749218
Kupreanof,Alaska Peninsula,56.011,-159.797,1895,Stratovolcano,Historical,D1,2130,110206,United States,488,-17788520.6702927,7560605.7566701
Kurikomayama,Honshu-Japan,38.961,140.788,1627,Stratovolcano,Historical,D2,2131,80321,Japan,489,15672448.4698034,4716086.69584027
Kurile Lake,Kamchatka,51.45,157.12,81,Caldera,Radiocarbon,D7,2132,1000023,Russia,490,17490518.3934391,6701282.86877362
Mikurajima,Izu Is-Japan,33.874,139.602,851,Submarine volcano,Holocene,Unknown,2133,804041,Japan,491,15540423.5537226,4011895.82653715
Kurub,Africa-NE,11.88,41.208,625,Shield volcano,Holocene,U,2134,20112,Ethiopia,492,4587253.57660922,1332054.66523934
Kusatsu-Shiranesan,Honshu-Japan,36.618,138.528,2165,Stratovolcano,Historical,D1,2135,80312,Japan,493,15420866.4206106,4385993.83057488
Kussharo,Hokkaido-Japan,43.615,144.427,574,Caldera,Tephrochronology,D6,2136,80508,Japan,494,16077540.0968001,5406054.57472712
Kuttara,Hokkaido-Japan,42.491,141.16,549,Stratovolcano,Tephrochronology,D3,2137,805034,Japan,495,15713859.3203785,5234814.9962915
Kutum Volcanic Field,Africa-N,14.57,25.85,1779,Scoria cone,Holocene,Unknown,2138,20504,Sudan,496,2877608.83700612,1639693.47639714
Kuwae,Vanuatu-SW Pacific,-16.83,168.523,-2,Caldera,Historical,D1,2139,50707,Vanuatu,497,18761341.7003352,-1900928.68232488
Kverkfjoll,Iceland-NE,64.653,-16.647,1930,Stratovolcano,Historical,D1,2140,170305,Iceland,498,-1853135.56323562,9517558.10831387
Kyatwa,Africa-C,0.45,30.25,1430,Tuff cone,Holocene,Unknown,2141,203002,Uganda,499,3367414.59649653,50094.2858708548
La Palma,Canary Is,28.57,-17.83,2426,Stratovolcano,Historical,D1,2142,180301,Spain,500,-1984826.52084407,3321029.68249471
"Lajas, Las",Nicaragua,12.3,-85.73,926,Shield volcano,Holocene,Unknown,2143,1404133,Nicaragua,503,-9543419.94570734,1379869.50809116
Lamington,New Guinea,-8.95,148.15,1680,Stratovolcano,Historical,D2,2144,50301,Papua New Guinea,504,16491982.5610235,-1000386.09634121
Lamongan,Java,-7.981,113.341,1641,Stratovolcano,Historical,D3,2145,60332,Indonesia,505,12617062.4060004,-891327.944410787
Langila,New Britain-SW Pac,-5.525,148.42,1330,Complex volcano,Historical,D1,2146,50201,Papua New Guinea,506,16522038.8235377,-615995.581022343
Oddnyjarhnjukur-Langjokull,Iceland-SW,64.85,-19.7,1100,Stratovolcano,Radiocarbon,D6,2147,170108,Iceland,507,-2192993.96862749,9568971.31087008
Lanin,Chile-C,-39.637,-71.502,3776,Stratovolcano,Holocene,U,2148,1507122,Argentina,508,-7959566.23070065,-4813331.47726003
St. Helens,US-Washington,46.2,-122.18,2549,Stratovolcano,Historical,D1,2149,120105,United States,509,-13601015.3851222,5812457.49134197
St. Michael,Alaska-W,63.45,-162.12,715,Shield volcano,Anthropology,U,2150,110404,United States,510,-18047115.8474055,9211452.33144126
St. Paul,Indian O-S,-38.72,77.53,268,Stratovolcano,Historical,D4,2151,304002,Indian Ocean,511,8630600.1212025,-4681642.96739867
Soda Lakes,US-Nevada,39.525,-118.878,1251,Lava dome,Pleistocene-Fumarol,Q,2152,120601,United States,513,-13232547.8705964,4797876.38520976
Steller,Alaska Peninsula,58.43,-154.39,2279,Unknown,Uncertain,Unknown,2153,110222,United States,514,-17187729.3784814,8058194.79810677
Stromboli,Italy,38.789,15.213,924,Stratovolcano,Historical,D1,2154,10104,Italy,515,1693503.41343807,4691492.54169011
Sturge Island,Antarctica,-67.4,164.83,1167,Stratovolcano,Uncertain,Unknown,2155,1900012,Antarctica,516,18348791.6674553,-10270967.417376
Suchitan,Guatemala,14.4,-89.78,2042,Stratovolcano,Holocene,U,2156,140217,Guatemala,517,-9994263.8834201,1620147.86169919
Sumaco,Ecuador,-0.538,-77.626,3990,Stratovolcano,Historical,D3,2157,150204,Ecuador,519,-8641286.79231866,-59890.7661449063
Sumbing,Java,-7.384,110.07,3371,Stratovolcano,Historical,D4,2158,60322,Indonesia,520,12252936.3516156,-824267.971695015
Sumbing,Sumatra,-2.414,101.728,2507,Stratovolcano,Historical,D2,2159,60118,Indonesia,521,11324309.1594181,-268804.789620233
Yonemaru-Sumiyoshiike,Kyushu-Japan,31.771,130.592,40,Maar,Radiocarbon,D7,2160,802081,Japan,522,14537434.9416752,3733288.21334409
Sundoro,Java,-7.302,109.996,3147,Stratovolcano,Historical,D1,2161,60321,Indonesia,523,12244253.4313337,-814839.832600706
San Francisco Volcanic Field,US-Arizona,35.347,-111.678,3850,Cinder cone,Dendrochronology,D6,2162,120902,United States,524,-12431938.0928112,4211137.61752493
Suoh,Sumatra,-5.25,104.27,1000,Maar,Historical,D2,2163,60127,Indonesia,525,11607283.3050146,-585246.857806467
Supply Reef,Mariana Is-C Pacific,20.13,145.1,-8,Submarine volcano,Hydrophonic,D1,2164,804142,United States,527,16152458.114104,2288437.58727385
Suretamatai,Vanuatu-SW Pacific,-13.8,167.47,921,Complex volcano,Historical,D1,2165,50701,Vanuatu,528,18642675.1231495,-1551281.00388157
Suswa,Africa-E,-1.151,36.357,2356,Shield volcano,Holocene,U,2166,20211,Kenya,529,4047242.72677105,-128137.352657064
Suwanosejima,Ryukyu Is,29.638,129.714,796,Stratovolcano,Historical,D1,2167,80203,Japan,530,14439696.4287587,3457102.47291006
Ta'u,Samoa-SW Pacific,-14.23,-169.454,931,Shield volcano,Holocene,U,2168,404001,United States,531,-18863532.9928834,-1600617.13143908
Taal,Luzon-Philippines,14.011,120.998,311,Stratovolcano,Historical,D1,2169,70307,Philippines,532,13468879.1495505,1574446.00392886
Taburete,El Salvador,13.435,-88.532,1172,Stratovolcano,Holocene,U,2170,1403072,El Salvador,534,-9855337.1589101,1509474.08430702
Tacana,Mexico,15.132,-92.109,4064,Stratovolcano,Historical,D1,2171,140113,Mexico,535,-10253526.9774776,1704417.37751083
Tacora,Chile-N,-17.721,-69.773,5960,Stratovolcano,Fumarolic,U,2172,150501,Chile,536,-7766760.8726467,-2004800.89984257
Taftan,Iran,28.6,61.13,3940,Stratovolcano,Holocene,U,2173,30205,Iran,537,6804960.47219281,3324832.84084286
"Tair, Jebel at",Red Sea,15.55,41.83,244,Stratovolcano,Historical,D3,2174,20101,Yemen,538,4656494.29988263,1752668.30359775
Tajumulco,Guatemala,15.043,-91.903,4203,Stratovolcano,Holocene,U,2175,140202,Guatemala,539,-10230595.1623742,1694156.23435041
Takaharayama,Honshu-Japan,36.9,139.777,1795,Stratovolcano,Holocene,U7,2176,803143,Japan,540,15559904.4646114,4425177.22786509
Takahe,Antarctica,-76.28,-112.08,3460,Shield volcano,Ice Core,D7,2177,1900027,Antarctica,541,-12476688.5281101,-13507140.7151607
Takawangha,Aleutian Is,51.873,-178.006,1449,Stratovolcano,Holocene,U,2178,110109,United States,542,-19815537.2781475,6777194.71959896
Takuan Group,Bougainville-SW Paci,-6.442,155.608,2210,Volcanic complex,Holocene,U,2179,505021,Papua New Guinea,543,17322203.3233597,-718635.85624332
Talagabodas,Java,-7.208,108.07,2201,Stratovolcano,Fumarolic,U,2180,60315,Indonesia,544,12030297.3700291,-804515.806218175
Talakmau,Sumatra,0.079,99.98,2919,Complex volcano,Holocene,U,2181,60113,Indonesia,545,11129722.6895115,8794.24255915148
Talang,Sumatra,-0.979,100.681,2575,Stratovolcano,Historical,D1,2182,60116,Indonesia,546,11207757.6525576,-108987.084887683
Tambora,Lesser Sunda Is,-8.25,118,2850,Stratovolcano,Historical,D1,2183,60404,Indonesia,547,13135699.9136063,-921575.83341745
Tampomas,Java,-6.764,107.961,1690,Stratovolcano,Holocene,U,2184,603131,Indonesia,548,12016939.0311339,-755392.739513452
Tanaga,Aleutian Is,51.885,-178.146,1806,Stratovolcano,Historical,D2,2185,110108,United States,549,-19831122.0068585,6779358.62920936
Tandikat-Singgalang,Sumatra,-0.39,100.331,2854,Stratovolcano,Historical,D2,2186,60115,Indonesia,550,11168795.8307799,-43414.9366630521
Tangkuban Parahu,Java,-6.77,107.6,2084,Stratovolcano,Historical,D1,2187,60309,Indonesia,551,11977977.2093562,-755392.739513452
Tao-Rusyr Caldera,Kuril Is,49.34,154.725,1272,Stratovolcano,Historical,D2,2188,90031,Russia,552,17221125.2257194,6334459.09103302
"Tara, Batu",Lesser Sunda Is,-7.791,123.585,633,Stratovolcano,Historical,D3,2189,60426,Indonesia,553,13757419.2696867,-869975.299512326
Tarakan,Halmahera-Indonesia,1.832,127.825,317,Pyroclastic cone,Holocene,U,2190,608001,Indonesia,554,14229970.5081042,203749.313006319
Taryatu-Chulutu,Mongolia,48.133,99.95,2326,Volcanic field,Holocene,U,2191,100301,Mongolia,555,11126383.1047877,6129009.88652713
Tat Ali,Africa-NE,13.284,41.063,655,Shield volcano,Holocene,U,2192,201106,Ethiopia,556,4571112.25044419,1492197.3169237
Midagahara,Honshu-Japan,36.571,137.59,2621,Stratovolcano,Historical,D3,2193,80308,Japan,558,15316448.7382465,4379477.226747
Yokodake,Honshu-Japan,36.087,138.32,2480,Stratovolcano,Holocene,U,2194,803031,Japan,559,15397711.9665256,4312599.05063527
Tatun Volcanic Group,Taiwan,25.178,121.553,1120,Stratovolcano,Pleistocene-Fumarol,Q,2195,801032,China,561,13531218.0643948,2897623.80057853
Taunshits,Kamchatka,54.528,159.804,2301,Stratovolcano,Radiocarbon,D7,2196,100016,Russia,562,17789299.9067283,7270794.19727156
Taupo,New Zealand,-38.781,175.893,760,Caldera,Radiocarbon,D6,2197,40107,New Zealand,563,19592230.3796161,-4695920.81595271
Taveuni,Fiji Is-SW Pacific,-16.841,-179.964,1241,Shield volcano,Radiocarbon,D7,2198,40501,Fiji,564,-20034168.7580654,-1899882.00472859
Teahitia,Society Is-C Pacific,-17.564,-148.821,-1743,Submarine volcano,Seismicity,U,2199,130303,France,565,-16566677.9393458,-1986578.00766935
Tecapa,El Salvador,13.494,-88.502,1593,Stratovolcano,Holocene,U,2200,140308,El Salvador,566,-9851997.5741863,1516227.55803636
Tecuamburro,Guatemala,14.156,-90.407,1845,Stratovolcano,Radiocarbon,D7,2201,140212,Guatemala,567,-10064061.2041475,1592120.11985216
Telica,Nicaragua,12.606,-86.84,1036,Stratovolcano,Historical,D1,2202,140404,Nicaragua,568,-9666984.58048788,1414754.03717042
Telomoyo,Java,-7.362,110.4,1864,Stratovolcano,Holocene,U,2203,603231,Indonesia,569,12289671.7835774,-821798.524867834
Tenduruk Dagi,Turkey,39.356,43.874,3514,Shield volcano,Holocene,U,2204,10303,Turkey,570,4884031.33906408,4772794.56786657
Tenerife,Canary Is,28.271,-16.641,3715,Stratovolcano,Historical,D2,2205,180303,Spain,571,-1852467.64629087,3283183.85269384
Tengchong,China-S,25.23,98.5,2865,Pyroclastic cone,Historical,D5,2206,70511,China,572,10964969.8431374,2904021.4916927
Tengger Caldera,Java,-7.942,112.95,2329,Stratovolcano,Historical,D1,2207,60331,Indonesia,573,12573536.4851003,-886944.231161079
Tenorio,Costa Rica,10.673,-85.015,1916,Stratovolcano,Holocene,U,2208,1405031,Costa Rica,574,-9463826.50979015,1195044.36620918
Teon,Banda Sea,-6.976,129.144,728,Stratovolcano,Historical,D2,2209,60505,Pacific Ocean,575,14376244.3190065,-778490.551789825
Tepi,Africa-NE,7.42,35.43,2728,Shield volcano,Holocene,U,2210,201292,Ethiopia,576,3944049.55880568,828309.149919764
Terceira,Azores,38.73,-27.32,1023,Stratovolcano,Historical,D1,2211,180205,Portugal,577,-3041248.48847223,4683069.85220509
Theistareykir,Iceland,65.883,-16.967,563,Shield volcano,Tephrochronology,D7,2212,170309,Iceland,578,-1910910.37895733,9831288.66712837
Thompson Island,Atlantic-S,-53.93,5.5,0,Submarine volcano,Uncertain,Unknown,2213,180603,Atlantic Ocean,579,612257.199363005,-7156910.262561
Southern Thule,Antarctica,-59.442,-27.225,1075,Stratovolcano,Historical,D1,2214,190007,Antarctica,580,-3030673.13684687,-8276539.5769509
Tianshan Volc Group,China-W,42.5,82.5,0,Volcanic field,Historical,D6,2215,100402,China,581,9183857.99044507,5236173.78392094
Chachadake [Tiatia],Kuril Is,44.353,146.252,1822,Stratovolcano,Historical,D1,2216,90003,Russia,582,16280698.1674978,5520233.24858
Ticsani,Peru,-16.759,-70.598,5382,Stratovolcano,Holocene,U,2217,1504031,Peru,583,-7858599.45255115,-1892324.14032164
Kie Matubu,Halmahera-Indonesia,0.662,127.403,1713,Stratovolcano,Holocene,U,2218,608061,Indonesia,584,14182103.1270631,73249.8350933097
Tigalalu,Halmahera-Indonesia,0.07,127.42,422,Unknown,Holocene,U,2219,608071,Indonesia,585,14184329.5168789,7792.3662940434
"Tigre, Isla del",Honduras,13.274,-87.639,774,Stratovolcano,Holocene,U,2220,140313,Honduras,586,-9756151.49261329,1490824.79149276
Tinakula,Santa Cruz Is-SW Pac,-10.386,165.804,796,Stratovolcano,Historical,D1,2221,50601,Solomon Is.,589,18457216.8514879,-1162548.43602487
Tindfjallajokull,Iceland-S,63.783,-19.716,1464,Stratovolcano,Holocene,U,2222,170204,Iceland,590,-2194775.08048018,9294872.15022214
Tinguiririca,Chile-C,-34.814,-70.352,4280,Stratovolcano,Historical,D2,2223,150703,Chile,591,-7831548.81628838,-4138633.12738138
"Solo, El",Argentina,-27.105,-68.713,6205,Complex volcano,Holocene,U,2224,1505131,Argentina,592,-7649096.17087821,-3136596.24738811
Titila,Kamchatka,57.406,160.108,1523,Shield volcano,Holocene,U,2225,100056,Russia,593,17823141.0319294,7843558.30852706
Tjornes Fracture Zone,Iceland-N of,66.309,-17.118,-75,Submarine volcano,Historical,D3,2226,170310,Iceland,594,-1905567.04339926,9961932.69730589
Tlevak Strait-Suemez Island,Alaska-SE,55.25,-133.3,50,Volcanic field,Holocene,U,2227,110506,United States,595,-14838888.1227434,7410537.97676342
Toshima,Izu Is-Japan,34.52,139.279,508,Stratovolcano,Holocene,Unknown,2228,804011,Japan,596,15504467.3581963,4098840.88028322
Toba,Sumatra,2.608,98.842,2157,Caldera,Holocene,U,2229,60109,Indonesia,597,11001705.2750992,287301.394029288
Tobaru,Halmahera-Indonesia,1.63,127.67,1035,Unknown,Holocene,U,2230,60802,Indonesia,598,14212159.3895772,181475.250781072
Todoko-Ranu,Halmahera-Indonesia,1.239,127.456,979,Caldera,Holocene,U,2231,60805,Indonesia,601,14189895.4914186,139160.403169843
Tofua,Tonga-SW Pacific,-19.75,-175.07,515,Caldera,Historical,D2,2232,40306,Tonga,602,-19488703.2531784,-2243438.39321718
Todra Volcanic Field,Africa-N,17.68,8.5,1780,Volcanic field,Holocene,U,2233,205001,Chad,603,946215.671742825,2000126.85787888
Tokachidake,Hokkaido-Japan,43.418,142.686,2077,Stratovolcano,Historical,D1,2234,80505,Japan,604,15883732.863329,5375813.68607549
Tolbachik,Kamchatka,55.832,160.326,3611,Shield volcano,Historical,D1,2235,100024,Russia,605,17847408.6809224,7525044.04241155
"Tolima, Nevado del",Colombia,4.658,-75.33,5215,Stratovolcano,Historical,D2,2236,150103,Colombia,607,-8385697.2414573,519098.313907892
Toliman,Guatemala,14.612,-91.189,3158,Stratovolcano,Holocene,U,2237,140207,Guatemala,608,-10151113.0459478,1644524.70838297
Tolmachev Dol,Kamchatka,52.63,157.58,1021,Cinder cone,Holocene,U,2238,1000082,Russia,609,17541725.3592041,6914849.05376297
"Toluca, Nevado de",Mexico,19.108,-99.758,4680,Stratovolcano,Radiocarbon,D7,2239,140107,Mexico,610,-11105009.7625554,2167655.30070896
Tongariro,New Zealand,-39.157,175.632,1978,Stratovolcano,Historical,D1,2240,40108,New Zealand,613,19551264.8070042,-4744185.49145903
Tangkoko-Duasudara,Sulawesi-Indonesia,1.518,125.185,1334,Stratovolcano,Historical,D3,2241,60613,Indonesia,614,13935530.454956,169002.759735761
Torfajokull,Iceland-S,63.892,-19.122,1280,Stratovolcano,Historical,D6,2242,170205,Iceland,616,-2128651.30294898,9322391.61556408
Izu-Torishima,Izu Is-Japan,30.484,140.303,394,Stratovolcano,Historical,D1,2243,80409,Japan,617,15618458.5167687,3565916.48155289
"Tortuga, Isla",Mexico,27.438,-111.881,224,Shield volcano,Holocene,U,2244,1401011,Mexico,619,-12454535.9494422,3178301.44834268
"Tousside, Tarso",Africa-N,21.03,16.45,3265,Stratovolcano,Holocene,U,2245,20501,Chad,621,1831205.62354935,2395456.12710368
Towada,Honshu-Japan,40.51,140.88,1011,Caldera,Historical,D6,2246,803271,Japan,622,15682689.8629564,4940333.2330682
Traitor's Head,Vanuatu-SW Pacific,-18.754,169.238,817,Stratovolcano,Historical,D3,2247,50709,Vanuatu,623,18839487.982872,-2125994.70016574
Tri Sestry,Kuril Is,45.93,149.92,998,Stratovolcano,Holocene,Unknown,2248,900113,Russia,625,16689018.0597276,5769138.75830292
Trident,Alaska Peninsula,58.236,-155.1,1864,Stratovolcano,Historical,D1,2249,110216,United States,626,-17265653.0220367,8017058.02576914
Tristan da Cunha,Atlantic-S,-37.092,-12.28,2060,Stratovolcano,Historical,D2,2250,180601,Atlantic Ocean,628,-1367003.3469414,-4451938.17077251
Tromen,Argentina,-37.142,-70.03,3978,Stratovolcano,Holocene,U,2251,1507071,Argentina,629,-7795703.94025295,-4458918.28186887
Tseax River Cone,Canada,55.111,-128.899,612,Pyroclastic cone,Radiocarbon,D4,2252,120010,Canada,630,-14349082.363253,7385190.58365778
Yufu-Tsurumi,Kyushu-Japan,33.282,131.39,1584,Lava dome,Historical,D6,2253,80213,Japan,632,14626267.8953282,3932794.84583075
Caichinque,Chile-N,-23.949,-67.74,4458,Maar,Holocene,U,2254,1505104,Chile,633,-7540782.30633635,-2747194.76764619
Licto,Ecuador,-1.786,-78.614,3322,Scoria cone,Holocene,U,2255,1502081,Ecuador,634,-8751159.12973162,-198180.575168034
Bora-Bericha-Tullu Moye,Africa-NE,8.211,39.081,2345,Pumice cone,Anthropology,D2,2256,20125,Ethiopia,635,4356710.91117635,911341.005446085
Visokiy,Kamchatka,52.435,157.933,1227,Shield volcano,Holocene,U,2257,1000059,Russia,637,17580687.1809817,6878251.54200237
Tungnafellsjokull,Iceland-NE,64.75,-17.916,1523,Stratovolcano,Holocene,U,2258,170304,Iceland,638,-1994399.99705229,9542826.396182
Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,2259,150208,Ecuador,639,-8732123.49680596,-163323.538801974
Tunkin Depression,Russia-SE,51.5,102.5,1200,Volcanic field,Holocene,U,2260,100205,Russia,640,11410247.8063105,6710219.08322074
Tupungatito,Chile-C,-33.425,-69.797,5660,Stratovolcano,Historical,D1,2261,150701,Chile,641,-7769766.49889812,-3951852.433092
Turrialba,Costa Rica,10.025,-83.767,3340,Stratovolcano,Historical,D3,2262,140507,Costa Rica,643,-9324899.78528015,1121716.00299664
Tutuila,Samoa-SW Pacific,-14.29,-170.702,653,Tuff cone,Holocene,U,2263,40402,American Samoa,644,-19002237.0784118,-1608083.01843763
Tutupaca,Peru,-17.026,-70.372,5801,Stratovolcano,Historical,D2,2264,150404,Peru,645,-7833775.20610425,-1923851.80316729
Ubehebe Craters,US-California,37.02,-117.45,752,Maar,Holocene,U,2265,120316,United States,649,-13074474.19367,4441894.89609274
Ubinas,Peru,-16.345,-70.897,5608,Stratovolcano,Historical,D1,2266,150402,Peru,650,-7892885.85571548,-1845870.58237182
Udina,Kamchatka,55.758,160.527,2886,Stratovolcano,Holocene,U,2267,1000241,Russia,651,17869783.8985718,7510390.36632713
Udokan Plateau,Russia-SE,56.28,117.77,2180,Shield volcano,Radiocarbon,D7,2268,100203,Russia,652,13110096.4307238,7614358.8639463
Ugashik-Peulik,Alaska Peninsula,57.751,-156.368,1474,Stratovolcano,Historical,D3,2269,110213,United States,653,-17406806.1363626,7915191.30175955
Uinkaret Field,US-Arizona,36.38,-113.13,1555,Volcanic field,Holocene,U,2270,120901,United States,654,-12593573.993443,4353035.55422486
Ukinrek Maars,Alaska Peninsula,57.834,-156.52,91,Maar,Historical,D1,2271,1102131,United States,656,-17422613.5040552,7932108.47389049
Ulawun,New Britain-SW Pac,-5.05,151.33,2334,Stratovolcano,Historical,D1,2272,50212,Papua New Guinea,658,16845978.5417461,-562892.706940696
Uliaga,Aleutian Is,53.065,-169.77,888,Stratovolcano,Holocene,Unknown,2273,110125,United States,659,-18898709.9519741,6995030.22320471
Ulleungdo,Korea,37.5,130.87,984,Stratovolcano,Radiocarbon,D7,2274,100603,South Korea,660,14568381.7601157,4509031.39307665
Azas Plateau,Russia-SE,52.433,98.303,2765,Cinder cone,Holocene,U,2275,100207,Russia,661,10943039.9034512,6878799.27576618
Umboi,New Guinea-NE of,-5.592,147.892,1335,Complex volcano,Holocene,U,2276,50106,Papua New Guinea,662,16461369.7010553,-623153.669285336
Ungaran,Java,-7.188,110.346,2033,Stratovolcano,Holocene,U,2277,60323,Indonesia,664,12281879.4192219,-801374.12859453
Unnamed,Atlantic-C,7,-21.83,-1415,Submarine volcano,Uncertain,Unknown,2278,180501,Atlantic Ocean,666,-2430104.48401716,781182.214188249
Romanche Fracture Zone,Atlantic-C,-0.433,-19.596,-1528,Submarine volcano,Historical,D3,2279,180503,Atlantic Ocean,668,-2181416.74158499,-48201.7983358596
Unnamed,Antarctica,-76.83,163,-500,Submarine volcano,Holocene,Unknown,2280,1900016,Antarctica,672,18145076.9993036,-13770500.126261
Unnamed,Africa-NE,8.013,39.062,1886,Fissure vent,Holocene,U,2281,201251,Ethiopia,673,4348361.94936685,894925.149710736
East Ziway,Africa-NE,7.874,38.902,1889,Fissure vent,Holocene,U,2282,201252,Ethiopia,674,4330550.83083993,879301.82808012
Samsari Volcanic Center,Georgia,41.542,43.7,3290,Lava cone,Holocene,U,2283,10405,Georgia,677,4864661.74766606,5092618.25848187
East Chamo Basin,Africa-NE,5.708,37.713,1150,Cinder cone,Holocene,U,2284,201311,Ethiopia,679,4198191.95628673,636465.326655005
Unnamed,Chile-Is,-33.62,-76.83,-642,Submarine volcano,Uncertain,Unknown,2285,150604,Chile,680,-8552676.47764721,-3977890.7289235
Unnamed,Arctic Ocean,88.27,-65.6,-1500,Submarine volcano,Historical,D2,2286,170701,Arctic Ocean,681,-7302558.59603874,26744655.8336548
Unnamed,Atlantic-N,49,-34.5,-1650,Submarine volcano,Historical,D3,2287,180102,Atlantic Ocean,682,-3840522.43236794,6274861.39400658
Pico Fracture Zone,Atlantic-N,38.75,-38.08,-4200,Submarine volcano,Historical,D3,2288,180104,Atlantic Ocean,683,-4239046.20940786,4685924.22115393
Unnamed,Atlantic-N,39.95,-25.83,-2835,Submarine volcano,Uncertain,Unknown,2289,180103,Atlantic Ocean,684,-2875382.44719026,4858679.07377125
Picos Fissural Volcanic System,Azores,37.78,-25.67,350,Pyroclastic cone,Historical,D5,2290,1802081,Portugal,685,-2857571.32866333,4548393.63894527
Unnamed,Hawaiian Is,23.58,-163.83,-4000,Submarine volcano,Historical,D2,2291,130209,United States,686,-18237472.176662,2702312.15938027
Unnamed,Sangihe Is-Indonesia,3.97,124.17,-5000,Submarine volcano,Uncertain,Unknown,2292,60705,Indonesia,688,13822541.1718008,442292.431138632
Suiyo Seamount,Volcano Is-Japan,28.575,140.633,-991,Submarine volcano,Uncertain,Unknown,2293,804093,Japan,689,15655193.9487304,3321663.4668828
Unnamed,Kuril Is,48.08,153.33,-150,Submarine volcano,Historical,D2,2294,90023,Russia,695,17068617.5233326,6120174.31868087
Kasuga 2,Mariana Is-C Pacific,21.6,143.637,-274,Submarine volcano,Uncertain,Unknown,2295,804135,United States,697,15989597.6990734,2463567.67384986
Unnamed,Luzon-N of,20.33,121.75,-24,Submarine volcano,Historical,D3,2296,70405,Philippines,699,13553148.0040811,2312165.20691916
Unnamed,New Guinea-NE of,-4.311,146.256,-2000,Submarine volcano,Uncertain,Unknown,2297,50104,Papua New Guinea,700,16281143.445461,-480351.769166455
Unnamed,Pacific-NE,31.75,-124.25,-2533,Submarine volcano,Uncertain,Unknown,2298,130103,Pacific Ocean,701,-13831446.7310642,3730538.79441267
Unnamed,Kuril Is,46.47,151.28,-502,Submarine volcano,Hydrophonic,D1,2299,90016,Russia,702,16840412.5672064,5855989.62046032
Unnamed,SW Pacific,-25.78,168.63,-2400,Submarine volcano,Hydrophonic,D1,2300,50803,Pacific Ocean,709,18771805.7324697,-2971858.41734855
Unnamed,Kuril Is,46.1,150.5,-100,Submarine volcano,Uncertain,Unknown,2301,90013,Russia,711,16753583.3643877,5796388.79736468
Unnamed,Kuril Is,45.022,147.019,-195,Submarine volcano,Uncertain,Unknown,2302,900061,Russia,712,16366080.2169363,5624985.60112209
NE Shepherd Islands,Vanuatu-SW Pacific,-16.992,168.592,216,Stratovolcano,Holocene,Unknown,2303,50708,Vanuatu,713,18767575.5918196,-1919893.81325957
Unnamed,Solomon Is-SW Pacifi,-8.92,158.03,-240,Submarine volcanoes,Holocene,U,2304,505061,Solomon Is.,714,17591819.130061,-997005.488490159
NW Eifuku,Mariana Is-C Pacific,21.485,144.043,-1535,Submarine volcano,Uncertain,Unknown,2305,804136,United States,715,16034793.4123355,2449804.51003404
Yavinsky,Kamchatka,51.533,156.629,646,Cinder cone,Holocene,U,2306,1000021,Russia,716,17435860.5234596,6716122.35648334
Unnamed,Alaska Peninsula,57.87,-155.411,402,Lava dome,Holocene,U,2307,1102132,United States,717,-17300273.3836734,7940058.03120313
